name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
We're The Lucky Ones,We're The Lucky Ones,The Marias,10/29/2020,215933,45,0.969,0.37,0.184,0.00119,0.101,-12.637,0.0302,86.834,3
bop it up!,bop it up!,The Marias,10/23/2020,166638,51,0.447,0.746,0.468,0.137,0.17,-7.951,0.0424,81.99,4
Care For You,Care For You,The Marias,10/16/2020,156026,57,0.816,0.879,0.413,0.221,0.318,-9.161,0.0575,109.988,4
Jupiter,Jupiter,The Marias,3/20/2020,191888,54,0.354,0.407,0.412,3.74E-05,0.0735,-11.794,0.0285,179.836,4
Hold It Together,Hold It Together,The Marias,3/6/2020,222021,57,0.428,0.802,0.494,0.103,0.107,-10.099,0.059,82.014,4
Out for the Night - Live,Out for the Night (Live),The Marias,12/11/2019,293683,46,0.826,0.471,0.198,0.0043,0.199,-14.287,0.0501,116.869,3
...baby one more time,...baby one more time,The Marias,5/28/2019,125333,61,0.644,0.706,0.169,0.0221,0.11,-15.428,0.0487,179.999,4
Drip,Drip,The Marias,11/8/2018,195754,48,0.585,0.734,0.385,0.222,0.0991,-9.668,0.0312,120.016,4
Ruthless,"Superclean, Vol. II",The Marias,9/28/2018,247455,60,0.71,0.672,0.436,0.147,0.117,-11.743,0.0326,105.003,4
Carino,"Superclean, Vol. II",The Marias,9/28/2018,258713,45,0.4,0.646,0.47,0.0348,0.11,-10.697,0.0284,113.995,4
ABQ,"Superclean, Vol. II",The Marias,9/28/2018,311035,50,0.821,0.54,0.307,0.594,0.108,-16.191,0.0294,136.991,4
Loverboy,"Superclean, Vol. II",The Marias,9/28/2018,73235,48,0.808,0.652,0.152,0.422,0.117,-18.704,0.0836,130.47,4
Over the Moon,"Superclean, Vol. II",The Marias,9/28/2018,182900,60,0.86,0.684,0.232,0.404,0.135,-13.249,0.0297,73.518,4
Clueless,"Superclean, Vol. II",The Marias,9/28/2018,227234,43,0.613,0.828,0.3,0.223,0.302,-12.684,0.0423,93.995,4
I Don't Know You,"Superclean, Vol. I",The Marias,11/3/2017,209403,44,0.257,0.878,0.326,0.0192,0.102,-9.616,0.0624,118.041,4
Basta Ya,"Superclean, Vol. I",The Marias,11/3/2017,176599,54,0.585,0.766,0.3,0.00174,0.114,-8.911,0.0375,85.993,4
I Like It,"Superclean, Vol. I",The Marias,11/3/2017,203700,49,0.507,0.919,0.183,0.00213,0.099,-11.845,0.0614,100.018,4
Only in My Dreams,"Superclean, Vol. I",The Marias,11/3/2017,170893,64,0.41,0.518,0.496,0.1,0.0999,-11.607,0.0292,143.921,4
Superclean,"Superclean, Vol. I",The Marias,11/3/2017,155557,46,0.479,0.658,0.383,0.878,0.105,-12.52,0.0613,177.988,4
Dejate Llevar,"Superclean, Vol. I",The Marias,11/3/2017,163937,42,0.424,0.535,0.551,0.578,0.0856,-9.812,0.0621,130.035,4
